episode,timestep,episode_reward,episode_length,termination_reason
207,46,6656,-0.3531874703864257,0.47162682687242824,64.89970239003499,0.2,0.15301668857570574,30.599509199917687
207,6658,25.75252588849339,17.0,collision
208,6697,76.82658797720613,39.0,collision
209,6736,95.3570939111711,39.0,collision
210,6762,101.07987039609117,26.0,collision
211,6777,52.2223315693891,15.0,collision
212,47,6784,-0.4067479918400447,0.5008700589338938,65.01505756378174,0.2,1.2208804229410724,2.395805186781766
212,6790,8.861005998967928,13.0,collision
213,6831,8.363077369702403,41.0,collision
214,6860,9.775396327490927,29.0,collision
215,6877,8.112324069119923,17.0,collision
216,48,6912,-0.4292720953623454,0.5333354038496813,65.13041305541992,0.2,-0.051000000000000004,53.352896666318166
216,6923,82.73673557907091,46.0,collision
217,6969,21.475309027876307,46.0,collision
218,7004,8.2270888967297,35.0,collision
219,7024,20.60660013169197,20.0,collision
220,49,7040,-0.33238153035442036,0.5175769130388895,65.24576981862386,0.2,-0.066,-0.9359999999999999
220,7093,-3.8537595332753236,69.0,collision
221,7152,44.425124436307776,59.0,collision
222,7167,9.892734713903772,15.0,collision
223,50,7168,-0.4216265951593717,0.4850916952515642,65.36112594604492,0.2,44.11764705882353,44.11764705882353
223,7182,59.439794175043474,15.0,collision
224,7200,21.645512269351855,18.0,collision
225,7247,125.9743548294567,47.0,collision
226,7276,14.792233534337289,29.0,collision
227,51,7296,-0.3466123466690381,0.4412454254925251,65.47648175557454,0.2,-0.05500000000000001,0.2692511205517378
227,7336,15.152898112566149,60.0,collision
228,7370,6.393513768067793,34.0,collision
229,7396,20.54613474031145,26.0,collision
230,7422,13.051132988074496,26.0,collision
231,52,7424,-0.3218666563431422,0.4892251491546631,65.59183883666992,0.2,-0.052000000000000005,-0.10300000000000001
231,7450,27.173643991969016,28.0,collision
232,7466,6.1340917607783005,16.0,collision
233,7529,15.906883685420059,63.0,collision
234,53,7552,-0.3177901866535346,0.4842218793928623,65.70719401041667,0.2,-0.052000000000000005,-0.7311214886323091
234,7566,12.70709441809192,37.0,collision
235,7601,19.401655940278914,35.0,collision
236,7623,5.678712844893591,22.0,collision
237,54,7680,-0.31226283436020214,0.47859055921435356,65.82255109151204,0.2,-0.06,-1.9289473881591113
237,7733,14.485254623293343,110.0,collision
238,7772,54.056045880555956,39.0,collision
239,7789,18.409468074612285,17.0,collision
240,7807,6.803751916185416,18.0,collision
241,55,7808,-0.38646166026592255,0.49589904583990574,65.93790944417317,0.2,-0.051000000000000004,-0.051000000000000004
241,7852,30.947925548324406,45.0,collision
242,7914,44.451056417172715,62.0,collision
243,56,7936,-0.3284420271714528,0.4991769852737586,66.05326557159424,0.2,3.2414795779420227,12.2680532860623
243,7941,23.343327155774737,27.0,collision
244,7962,20.335312258451943,21.0,collision
245,7986,7.6781890530955295,24.0,collision
246,8008,13.20577264446387,22.0,collision
